172.21.168.0/21
00:08:e3:ff:fd:90	172.21.168.1
10:41:7f:be:6f:1a	172.21.168.100
7c:04:d0:cc:6d:18	172.21.172.100
74:42:8b:6d:16:c3	172.21.168.101
30:d1:6b:8b:f6:9b	172.21.168.103
c0:b5:d7:9c:c4:59	172.21.172.103
a4:c4:94:71:80:bd	172.21.168.104
bc:a9:20:ad:4c:b9	172.21.168.105
58:6b:14:ab:a0:1d	172.21.168.106
50:bc:96:54:55:40	172.21.169.106
e8:93:09:6c:16:23	172.21.172.108
ac:5f:3e:1b:40:2d	172.21.172.110
90:73:5a:ba:91:34	172.21.173.110
c0:a6:00:58:2f:c2	172.21.168.111
f4:0f:24:d1:3f:c2	172.21.172.111
e4:2b:34:1c:52:3f	172.21.168.113
00:db:70:83:a6:33	172.21.172.114
f8:4e:73:b2:b0:b5	172.21.168.115
bc:fe:d9:93:d4:69	172.21.168.116
90:e1:7b:16:8d:38	172.21.168.118
74:c6:3b:68:ab:86	172.21.168.120
b8:7b:c5:04:d6:33	172.21.168.124
60:8b:0e:5b:ae:43	172.21.172.124
00:5b:94:8b:82:a7	172.21.168.125
74:40:bb:03:fe:ab	172.21.168.126
38:f9:d3:2a:b3:2e	172.21.168.127
58:6b:14:ca:92:6f	172.21.168.128
64:c7:53:e2:d9:3c	172.21.173.128
b0:48:1a:51:9d:60	172.21.172.129
60:ab:67:ae:bb:f6	172.21.173.129
cc:fd:17:94:86:3b	172.21.168.130
